intensity,red,green,blue
0,2860,3386,821
1,2432,2195,698
2,3131,2744,1121
3,3615,3264,1607
4,4205,3968,2070
5,4766,4896,2678
6,5425,6018,3411
7,5716,7292,4000
8,6506,8853,4701
9,7112,10558,5543
10,7842,12311,6436
11,8395,13808,7566
12,9025,15652,8702
13,9586,17014,9946
14,10133,18997,11086
15,10959,19786,12322
16,11480,21255,13317
17,12060,22101,14620
18,12280,22778,15395
19,13151,23347,16344
20,13488,24138,17450
21,13938,24989,18225
22,14552,25482,19074
23,15087,25661,19887
24,15757,25399,20354
25,16515,25474,20929
26,16947,25305,21472
27,17583,24758,22266
28,17870,24627,22683
29,18734,24155,23036
30,19053,23923,23120
31,19772,23486,23279
32,20128,23279,23316
33,19972,22661,23355
34,20488,22156,23004
35,20611,21980,23092
36,20455,21022,22561
37,20654,20742,22188
38,20527,20197,21851
39,20333,19906,21255
40,20145,19426,21248
41,19789,19014,20706
42,19288,18805,19983
43,19197,18420,19396
44,18476,17880,19162
45,17935,17273,18473
46,17831,16907,17998
47,17377,16399,17800
48,16785,16223,17169
49,16614,15402,16821
50,16227,15237,16306
51,16020,14660,15992
52,15470,14237,15746
53,15200,14038,15409
54,14668,13408,14774
55,14246,13183,14544
56,13841,12655,14009
57,13790,12273,13839
58,13635,12049,13374
59,13088,11693,13129
60,12681,11191,12778
61,12372,10870,12457
62,11959,10587,12138
63,11793,10550,11798
64,11422,10043,11742
65,11319,9870,11256
66,10732,9383,10995
67,10743,9329,10807
68,10425,9205,10580
69,10083,8884,10225
70,10028,8662,9986
71,9668,8270,9881
72,9656,8178,9490
73,9068,7903,9477
74,9048,7770,8942
75,8793,7603,8837
76,8544,7398,8555
77,8500,7074,8542
78,8255,7076,8408
79,8229,6773,8052
80,7818,6577,7895
81,7858,6461,7970
82,7795,6314,7419
83,7652,6221,7390
84,7644,6019,7263
85,7301,5925,7204
86,6976,5771,7034
87,6983,5604,6746
88,6856,5442,6664
89,6817,5367,6536
90,6522,5100,6337
91,6558,5175,6179
92,6497,4977,6096
93,6223,5001,6009
94,6158,4819,6004
95,6064,4709,5963
96,5921,4824,5705
97,5835,4558,5728
98,5717,4479,5598
99,5466,4375,5487
100,5453,4313,5471
101,5270,4179,5367
102,5205,4167,5229
103,5162,4057,5111
104,4918,4020,5054
105,5003,3928,4914
106,4899,3940,4936
107,4780,3866,4921
108,4671,3766,4757
109,4553,3670,4734
110,4556,3835,4604
111,4436,3659,4687
112,4357,3653,4581
113,4405,3476,4607
114,4304,3449,4437
115,4221,3422,4365
116,4163,3392,4290
117,4201,3445,4197
118,4009,3408,4194
119,4023,3396,4150
120,3845,3229,3963
121,3834,3179,4025
122,3964,3197,3827
123,3816,3171,3843
124,3787,3055,3940
125,3674,3092,3765
126,3669,3034,3737
127,3631,2984,3674
128,3646,3077,3601
129,3486,2977,3533
130,3470,2877,3568
131,3428,2786,3439
132,3491,2807,3391
133,3289,2904,3300
134,3284,2745,3358
135,3309,2727,3306
136,3135,2725,3379
137,3174,2599,3254
138,3143,2639,3052
139,3057,2665,3069
140,3040,2605,3035
141,2917,2525,2990
142,2986,2531,2891
143,2974,2524,2940
144,2989,2416,2873
145,2889,2450,2780
146,2862,2397,2749
147,2855,2315,2711
148,2825,2377,2655
149,2852,2417,2607
150,2811,2368,2553
151,2733,2280,2524
152,2856,2220,2562
153,2760,2195,2417
154,2787,2218,2411
155,2785,2139,2335
156,2727,2181,2323
157,2666,2086,2272
158,2732,2120,2246
159,2663,2069,2187
160,2680,2073,2207
161,2531,1928,2219
162,2666,1964,2072
163,2615,1943,2096
164,2730,1982,2059
165,2610,1884,2069
166,2662,1919,2035
167,2542,1809,2009
168,2613,1756,1994
169,2494,1904,1937
170,2596,1764,1892
171,2512,1761,1925
172,2464,1776,1856
173,2502,1844,1873
174,2520,1679,1740
175,2478,1645,1717
176,2402,1673,1837
177,2416,1619,1840
178,2403,1608,1742
179,2389,1550,1636
180,2325,1499,1775
181,2333,1503,1659
182,2231,1565,1682
183,2283,1553,1648
184,2307,1461,1631
185,2303,1457,1560
186,2311,1311,1514
187,2281,1433,1542
188,2158,1380,1471
189,2171,1295,1448
190,2248,1299,1519
191,2198,1313,1491
192,2235,1226,1400
193,2104,1164,1424
194,2192,1196,1348
195,2149,1221,1314
196,2131,1109,1315
197,2164,1128,1292
198,2094,1037,1301
199,2118,1069,1214
200,2072,1034,1205
201,1967,962,1205
202,1971,947,1169
203,1950,920,1141
204,1946,970,1191
205,1880,944,1138
206,1995,856,1126
207,1843,842,1041
208,1841,872,1030
209,1816,809,1093
210,1768,765,1049
211,1819,757,980
212,1703,793,1007
213,1640,693,974
214,1677,738,877
215,1661,683,916
216,1703,662,909
217,1715,634,875
218,1591,605,842
219,1546,545,855
220,1537,600,787
221,1498,536,787
222,1509,538,768
223,1474,506,745
224,1484,508,737
225,1450,486,716
226,1476,443,692
227,1392,431,627
228,1320,394,599
229,1384,437,626
230,1333,386,603
231,1356,354,571
232,1295,397,593
233,1309,360,519
234,1301,377,510
235,1323,316,512
236,1253,306,459
237,1223,300,489
238,1197,287,467
239,1151,293,426
240,1218,234,382
241,1158,258,405
242,1164,263,439
243,1118,296,392
244,1091,236,383
245,1060,253,379
246,1052,236,380
247,1020,244,397
248,959,221,379
249,979,208,387
250,933,203,409
251,818,206,423
252,727,189,390
253,590,150,347
254,389,92,371
255,372,452,1807
