scorpius 25 [('horologium', np.float64(2.27), 3), ('chamaeleon', np.float64(2.21), 3), ('crux', np.float64(2.179), 4)]
pisces 25 [('horologium', np.float64(1.998), 3), ('sculptor', np.float64(1.745), 3), ('caelum', np.float64(1.666), 3)]
constellation_01 23 [('chamaeleon', np.float64(1.528), 3), ('indus', np.float64(1.491), 3), ('horologium', np.float64(1.433), 3)]
taurus 23 [('indus', np.float64(1.765), 3), ('sculptor', np.float64(1.743), 3), ('musca', np.float64(1.731), 3)]
constellation_02 21 [('indus', np.float64(1.428), 3), ('chamaeleon', np.float64(1.394), 3), ('sculptor', np.float64(1.343), 3)]
constellation_03 21 [('horologium', np.float64(2.055), 3), ('caelum', np.float64(1.935), 3), ('indus', np.float64(1.837), 3)]
constellation_05 20 [('sculptor', np.float64(1.673), 3), ('aries', np.float64(1.371), 4), ('cepheus', np.float64(1.211), 4)]
constellation_04 20 [('canis-major', np.float64(6.993), 13), ('ursa-minor', np.float64(2.215), 5), ('sculptor', np.float64(2.051), 3)]
constellation_07 20 [('perseus', np.float64(8.545), 11), ('sculptor', np.float64(2.049), 3), ('horologium', np.float64(2.023), 3)]
constellation_06 20 [('hydrus', np.float64(2.444), 4), ('lyra', np.float64(1.607), 4), ('sculptor', np.float64(1.422), 3)]
constellation_10 22 [('centaurus', np.float64(4.32), 10), ('reticulum', np.float64(2.716), 4), ('chamaeleon', np.float64(2.182), 3)]
constellation_08 22 [('lepus', np.float64(4.033), 8), ('taurus', np.float64(3.862), 7), ('musca', np.float64(3.329), 4)]
constellation_12 24 [('sagitta', np.float64(2.362), 4), ('sculptor', np.float64(2.273), 3), ('crater', np.float64(2.073), 5)]
constellation_11 24 [('sculptor', np.float64(3.213), 3), ('hydrus', np.float64(2.583), 4), ('chamaeleon', np.float64(1.762), 3)]
constellation_13 24 [('taurus', np.float64(2.705), 5), ('tucana', np.float64(2.081), 3), ('indus', np.float64(1.987), 3)]
constellation_14 24 [('caelum', np.float64(2.479), 3), ('chamaeleon', np.float64(2.385), 3), ('indus', np.float64(2.216), 3)]
constellation_15 23 [('chamaeleon', np.float64(1.874), 3), ('camelopardalis', np.float64(1.663), 4), ('tucana', np.float64(1.651), 4)]
constellation_16 23 [('sculptor', np.float64(2.148), 3), ('caelum', np.float64(1.566), 3), ('chamaeleon', np.float64(1.543), 3)]
constellation_17 18 [('equuleus', np.float64(1.785), 4), ('ursa-minor', np.float64(1.727), 4), ('caelum', np.float64(1.725), 3)]
